Grayscale_16bit
13077
13057
13036
13015
12994
12974
12953
12932
12911
12890
12870
12849
12828
12807
12787
12766
12745
12724
12704
12683
12662
12641
12621
12600
12579
12558
12538
12517
12496
12475
12455
12434
12413
12392
12371
12351
12330
12309
12288
12268
12247
12226
12205
12185
12164
12143
12122
12102
12081
12060
12039
12019
11998
11977
11956
11935
11915
11894
11873
11852
11832
11811
11790
11769
11749
11728
11707
11686
11666
11645
11624
11603
11583
11562
11541
11520
11499
11479
11458
11437
11416
11396
11375
11354
11333
11313
11292
11271
11250
11230
11209
11188
11167
11147
11126
11105
11084
11063
11043
11022
11001
10980
10960
10939
10918
10897
10877
10856
10835
10814
10794
10773
10752
10731
10711
10690
10669
10648
10628
10607
10586
10565
10544
10524
10503
10482
10461
10441
10420
10399
10378
10358
10337
10316
10295
10275
10254
10233
10212
10192
10171
10150
10129
10108
10088
10067
10046
10025
10005
9984
9963
9942
9922
9901
9880
9859
9839
9818
9797
9776
9756
9735
9714
9693
9672
9652
9631
9610
9589
9569
9548
9527
9506
9486
9465
9444
9423
9403
9382
9361
9340
9320
9299
9278
9257
9236
9216
9195
9174
9153
9133
9112
9091
9070
9050
9029
9008
8987
8967
8946
8925
8904
8884
8863
8842
8821
8800
8780
8759
8738
8717
8697
8676
8655
8634
8614
8593
8572
8551
8531
8510
8489
8468
8448
8427
8406
8385
8365
8344
8323
8302
8281
8261
8240
8219
8198
8362
8618
8873
9129
9384
9640
9895
10151
10407
10662
10918
11173
11429
11684
11940
12196
12275
12254
12234
12214
12194
12173
12153
12133
12113
12093
12072
12052
12032
12012
11992
11971
11951
11931
11911
11891
11870
11850
11830
11810
11789
11769
11749
11729
11709
11688
11668
11648
11628
11608
11587
11567
11547
11527
11507
11486
11466
11446
11426
11405
11385
11365
11345
11325
11304
11284
11264
11244
11224
11203
11183
11163
11143
11123
11102
11082
11062
11042
11021
11001
10981
10961
10941
10920
10900
10880
10860
10840
10819
10799
10779
10759
10738
10718
10698
10678
10658
10637
10617
10597
10577
10557
10536
10516
10496
10476
10456
10435
10415
10395
10375
10354
10334
10314
10294
10274
10253
10233
10213
10193
10173
10152
10132
10112
10092
10072
10051
10031
10011
9991
9970
9950
9930
9910
9890
9869
9849
9829
9809
9789
9768
9748
9728
9708
9688
9667
9647
9627
9607
9586
9566
9546
9526
9506
9485
9465
9445
9425
9405
9384
9364
9344
9324
9303
9283
9263
9243
9223
9202
9182
9162
9142
9122
9101
9081
9061
9041
9021
9000
8980
8960
8940
8919
8899
8879
8859
8839
8818
8798
8778
8758
8738
8717
8697
8677
8657
8637
8616
8596
8576
8556
8535
8515
8495
8475
8455
8434
8414
8394
8374
8354
8333
8313
8293
8273
8253
8232
8212
8192
8172
8151
8131
8111
8091
8071
8050
8030
8010
7990
7970
7949
7929
7909
7889
7868
7848
7828
7808
7788
7767
7747
7727
7707
7687
7666
7646
7626
7606
7586
7565
7545
7525
7505
7484
7464
7444
7424
7404
7383
7363
7343
7323
7303
7282
7262
7242
7222
7202
7181
7161
7141
7121
7100
7080
7060
7040
7020
6999
6979
6959
6939
6919
6898
6878
6858
6838
6817
6797
6777
6757
6737
6716
6696
6676
6656
6636
6615
6595
6575
6555
6535
6514
6494
6474
6454
6433
6413
6393
6373
6353
6332
6312
6292
6272
6252
6231
6211
6191
6171
6151
6498
7042
7586
8130
8674
9218
9761
10305
10849
11393
11937
12481
13024
13568
14112
14338
14342
14346
14350
14354
14358
14362
14366
14370
14374
14378
14382
14386
14390
14394
14398
14402
14406
14410
14414
14418
14422
14426
14430
14434
14438
14442
14446
14449
14453
14457
14461
14465
14469
14473
14477
14481
14485
14489
14493
14497
14501
14505
14509
14513
14517
14521
14525
14529
14533
14537
14541
14545
14549
14553
14557
14561
14565
14569
14573
14577
14581
14585
14589
14593
14597
14601
14605
14609
14613
14617
14621
14625
14629
14633
14637
14641
14645
14649
14653
14657
14661
14665
14669
14673
14677
14681
14685
14689
14693
14697
14701
14705
14709
14713
14717
14721
14725
14729
14733
14737
14741
14745
14749
14753
14757
14761
14765
14768
14772
14776
14780
14784
14788
14792
14796
14800
