# depth,power
0.000000000000000000e+00,1.630183940000000013e-05
1.024000000000000000e+03,1.628083739999999934e-05
2.048000000000000000e+03,1.629133659999999913e-05
3.072000000000000000e+03,1.624932879999999987e-05
4.096000000000000000e+03,1.628083739999999934e-05
5.120000000000000000e+03,1.633860119999999900e-05
6.144000000000000000e+03,1.630709270000000116e-05
7.168000000000000000e+03,1.630709270000000116e-05
8.192000000000000000e+03,1.629658979999999853e-05
9.216000000000000000e+03,1.624407380000000156e-05
1.024000000000000000e+04,1.630183940000000013e-05
1.126400000000000000e+04,1.631759549999999877e-05
1.228800000000000000e+04,1.634910039999999879e-05
1.331200000000000000e+04,1.630709270000000116e-05
1.433600000000000000e+04,1.631234229999999936e-05
1.536000000000000000e+04,1.627558410000000169e-05
1.638400000000000000e+04,1.627033450000000010e-05
1.740800000000000000e+04,1.627558410000000169e-05
1.843200000000000000e+04,1.627558410000000169e-05
1.945600000000000000e+04,1.624932879999999987e-05
2.048000000000000000e+04,1.628083739999999934e-05
2.150400000000000000e+04,1.620731560000000050e-05
2.252800000000000000e+04,1.613379750000000111e-05
2.355200000000000000e+04,1.606553090000000045e-05
2.457600000000000000e+04,1.597625669999999903e-05
2.560000000000000000e+04,1.577670810000000108e-05
2.662400000000000000e+04,1.560341299999999927e-05
2.764800000000000000e+04,1.520956180000000038e-05
2.867200000000000000e+04,1.473694370000000001e-05
2.969600000000000000e+04,1.425907250000000018e-05
3.072000000000000000e+04,1.345036529999999991e-05
3.174400000000000000e+04,1.278344639999999920e-05
3.276800000000000000e+04,1.193273060000000016e-05
3.379200000000000000e+04,1.107151180000000024e-05
3.481600000000000000e+04,1.018403240000000004e-05
3.584000000000000000e+04,9.196781320000000615e-06
3.686400000000000000e+04,8.493103450000000495e-06
3.788800000000000000e+04,7.778919099999999584e-06
3.891200000000000000e+04,7.090994589999999601e-06
3.993600000000000000e+04,-1.400974979999999937e-07
4.096000000000000000e+04,-1.033387629999999970e-07
4.198400000000000000e+04,-1.138418069999999960e-07
4.300800000000000000e+04,-1.085883670000000005e-07
4.403200000000000000e+04,-1.243410140000000126e-07
4.505600000000000000e+04,-1.138418069999999960e-07
4.608000000000000000e+04,-1.348440580000000115e-07
4.710400000000000000e+04,-1.243410140000000126e-07
4.812800000000000000e+04,-1.138418069999999960e-07
4.915200000000000000e+04,-1.506005559999999905e-07
5.017600000000000000e+04,-1.243410140000000126e-07
5.120000000000000000e+04,-1.558501590000000036e-07
5.222400000000000000e+04,-1.190914109999999995e-07
5.324800000000000000e+04,-1.663532030000000026e-07
5.427200000000000000e+04,-1.190914109999999995e-07
5.529600000000000000e+04,-1.295944539999999948e-07
5.632000000000000000e+04,-1.190914109999999995e-07
5.734400000000000000e+04,-1.558501590000000036e-07
5.836800000000000000e+04,-1.138418069999999960e-07
5.939200000000000000e+04,-1.821058499999999882e-07
6.041600000000000000e+04,-1.295944539999999948e-07
6.144000000000000000e+04,4.428566170000000145e-06
6.246400000000000000e+04,4.292030549999999804e-06
6.348800000000000000e+04,4.160748179999999682e-06
6.451200000000000000e+04,3.971701520000000030e-06
6.553500000000000000e+04,3.861421189999999992e-06
