0.000000000000000000e+00,1.616530789999999948e-05
1.024000000000000000e+03,1.612329470000000011e-05
2.048000000000000000e+03,1.616005470000000008e-05
3.072000000000000000e+03,1.611804509999999852e-05
4.096000000000000000e+03,1.611279189999999912e-05
5.120000000000000000e+03,1.612854429999999832e-05
6.144000000000000000e+03,1.616530789999999948e-05
7.168000000000000000e+03,1.619681279999999951e-05
8.192000000000000000e+03,1.602351949999999999e-05
9.216000000000000000e+03,1.623882419999999997e-05
1.024000000000000000e+04,1.619156320000000130e-05
1.126400000000000000e+04,1.617581070000000048e-05
1.228800000000000000e+04,1.618106029999999868e-05
1.331200000000000000e+04,1.627558410000000169e-05
1.433600000000000000e+04,1.619681279999999951e-05
1.536000000000000000e+04,1.611804509999999852e-05
1.638400000000000000e+04,1.616530789999999948e-05
1.740800000000000000e+04,1.608653660000000069e-05
1.843200000000000000e+04,1.609703940000000168e-05
1.945600000000000000e+04,1.598151179999999897e-05
2.048000000000000000e+04,1.583972519999999839e-05
2.150400000000000000e+04,1.558241090000000024e-05
2.252800000000000000e+04,1.515705030000000067e-05
2.355200000000000000e+04,1.470543520000000048e-05
2.457600000000000000e+04,1.398075160000000065e-05
2.560000000000000000e+04,1.312478250000000058e-05
2.662400000000000000e+04,1.211127440000000072e-05
2.764800000000000000e+04,1.090871959999999937e-05
2.867200000000000000e+04,9.721914469999999380e-06
2.969600000000000000e+04,8.571874790000000283e-06
3.072000000000000000e+04,7.553113390000000235e-06
3.174400000000000000e+04,6.665638470000000184e-06
3.276800000000000000e+04,6.014472550000000346e-06
3.379200000000000000e+04,5.578609489999999741e-06
3.481600000000000000e+04,5.305541890000000404e-06
3.584000000000000000e+04,5.169006270000000063e-06
3.686400000000000000e+04,5.211014469999999930e-06
3.788800000000000000e+04,5.284535750000000271e-06
3.891200000000000000e+04,5.489335760000000235e-06
3.993600000000000000e+04,5.678386510000000112e-06
4.096000000000000000e+04,5.846427480000000204e-06
4.198400000000000000e+04,6.087990190000000189e-06
4.300800000000000000e+04,6.245528310000000165e-06
4.403200000000000000e+04,6.345305340000000360e-06
4.505600000000000000e+04,6.355808179999999805e-06
4.608000000000000000e+04,6.429325819999999647e-06
4.710400000000000000e+04,6.324299190000000402e-06
4.812800000000000000e+04,6.156257769999999737e-06
4.915200000000000000e+04,5.925198819999999993e-06
5.017600000000000000e+04,5.683636119999999833e-06
5.120000000000000000e+04,5.384309130000000143e-06
5.222400000000000000e+04,5.079732089999999983e-06
5.324800000000000000e+04,4.754149360000000263e-06
5.427200000000000000e+04,4.470578460000000237e-06
5.529600000000000000e+04,4.255271959999999658e-06
5.632000000000000000e+04,3.997956810000000334e-06
5.734400000000000000e+04,3.798406849999999992e-06
5.836800000000000000e+04,3.730138810000000046e-06
5.939200000000000000e+04,3.598856670000000123e-06
6.041600000000000000e+04,3.499079639999999928e-06
6.144000000000000000e+04,3.404556079999999903e-06
6.246400000000000000e+04,3.378300330000000048e-06
6.348800000000000000e+04,3.283776779999999848e-06
6.451200000000000000e+04,3.252267559999999823e-06
6.553500000000000000e+04,3.278523310000000101e-06
