# depth,power
0.000000000000000000e+00,0.000000000000000000e+00
1.024000000000000000e+03,0.000000000000000000e+00
2.048000000000000000e+03,0.000000000000000000e+00
3.072000000000000000e+03,0.000000000000000000e+00
4.096000000000000000e+03,0.000000000000000000e+00
5.120000000000000000e+03,0.000000000000000000e+00
6.144000000000000000e+03,0.000000000000000000e+00
7.168000000000000000e+03,0.000000000000000000e+00
8.192000000000000000e+03,0.000000000000000000e+00
9.216000000000000000e+03,0.000000000000000000e+00
1.024000000000000000e+04,0.000000000000000000e+00
1.126400000000000000e+04,0.000000000000000000e+00
1.228800000000000000e+04,0.000000000000000000e+00
1.331200000000000000e+04,0.000000000000000000e+00
1.433600000000000000e+04,0.000000000000000000e+00
1.536000000000000000e+04,0.000000000000000000e+00
1.638400000000000000e+04,0.000000000000000000e+00
1.740800000000000000e+04,0.000000000000000000e+00
1.843200000000000000e+04,0.000000000000000000e+00
1.945600000000000000e+04,0.000000000000000000e+00
2.048000000000000000e+04,0.000000000000000000e+00
2.150400000000000000e+04,0.000000000000000000e+00
2.252800000000000000e+04,0.000000000000000000e+00
2.355200000000000000e+04,0.000000000000000000e+00
2.457600000000000000e+04,0.000000000000000000e+00
2.560000000000000000e+04,0.000000000000000000e+00
2.662400000000000000e+04,0.000000000000000000e+00
2.764800000000000000e+04,0.000000000000000000e+00
2.867200000000000000e+04,0.000000000000000000e+00
2.969600000000000000e+04,0.000000000000000000e+00
3.072000000000000000e+04,0.000000000000000000e+00
3.174400000000000000e+04,0.000000000000000000e+00
3.276800000000000000e+04,0.000000000000000000e+00
3.379200000000000000e+04,0.000000000000000000e+00
3.481600000000000000e+04,0.000000000000000000e+00
3.584000000000000000e+04,0.000000000000000000e+00
3.686400000000000000e+04,0.000000000000000000e+00
3.788800000000000000e+04,0.000000000000000000e+00
3.891200000000000000e+04,0.000000000000000000e+00
3.993600000000000000e+04,0.000000000000000000e+00
4.096000000000000000e+04,0.000000000000000000e+00
4.198400000000000000e+04,0.000000000000000000e+00
4.300800000000000000e+04,0.000000000000000000e+00
4.403200000000000000e+04,0.000000000000000000e+00
4.505600000000000000e+04,0.000000000000000000e+00
4.608000000000000000e+04,0.000000000000000000e+00
4.710400000000000000e+04,0.000000000000000000e+00
4.812800000000000000e+04,0.000000000000000000e+00
4.915200000000000000e+04,0.000000000000000000e+00
5.017600000000000000e+04,0.000000000000000000e+00
5.120000000000000000e+04,0.000000000000000000e+00
5.222400000000000000e+04,0.000000000000000000e+00
5.324800000000000000e+04,0.000000000000000000e+00
5.427200000000000000e+04,0.000000000000000000e+00
5.529600000000000000e+04,0.000000000000000000e+00
5.632000000000000000e+04,0.000000000000000000e+00
5.734400000000000000e+04,0.000000000000000000e+00
5.836800000000000000e+04,0.000000000000000000e+00
5.939200000000000000e+04,0.000000000000000000e+00
6.041600000000000000e+04,0.000000000000000000e+00
6.144000000000000000e+04,0.000000000000000000e+00
6.246400000000000000e+04,0.000000000000000000e+00
6.348800000000000000e+04,0.000000000000000000e+00
6.451200000000000000e+04,0.000000000000000000e+00
