0.000000000000000000e+00,4.425028240000000273e-05
1.024000000000000000e+03,4.433955470000000023e-05
2.048000000000000000e+03,4.430279659999999741e-05
3.072000000000000000e+03,4.431854900000000000e-05
4.096000000000000000e+03,4.426603850000000137e-05
5.120000000000000000e+03,4.430279659999999741e-05
6.144000000000000000e+03,4.433955470000000023e-05
7.168000000000000000e+03,4.426603850000000137e-05
8.192000000000000000e+03,4.428179089999999718e-05
9.216000000000000000e+03,4.424502909999999831e-05
1.024000000000000000e+04,4.431330310000000124e-05
1.126400000000000000e+04,4.428704410000000336e-05
1.228800000000000000e+04,4.429754339999999801e-05
1.331200000000000000e+04,4.431854900000000000e-05
1.433600000000000000e+04,4.431854900000000000e-05
1.536000000000000000e+04,4.425553560000000214e-05
1.638400000000000000e+04,4.425553560000000214e-05
1.740800000000000000e+04,4.430804979999999682e-05
1.843200000000000000e+04,4.430279659999999741e-05
1.945600000000000000e+04,4.423452990000000190e-05
2.048000000000000000e+04,4.430279659999999741e-05
2.150400000000000000e+04,4.429754339999999801e-05
2.252800000000000000e+04,4.437631290000000129e-05
2.355200000000000000e+04,4.429754339999999801e-05
2.457600000000000000e+04,4.435006119999999728e-05
2.560000000000000000e+04,4.421877749999999932e-05
2.662400000000000000e+04,4.437106689999999751e-05
2.764800000000000000e+04,4.435530720000000106e-05
2.867200000000000000e+04,4.429229740000000101e-05
2.969600000000000000e+04,4.428704410000000336e-05
3.072000000000000000e+04,4.423452990000000190e-05
3.174400000000000000e+04,4.426078159999999914e-05
3.276800000000000000e+04,4.435530720000000106e-05
3.379200000000000000e+04,4.427654490000000018e-05
3.481600000000000000e+04,4.427654490000000018e-05
3.584000000000000000e+04,4.423978319999999955e-05
3.686400000000000000e+04,4.427129170000000078e-05
3.788800000000000000e+04,4.428179089999999718e-05
3.891200000000000000e+04,4.414000800000000282e-05
3.993600000000000000e+04,4.410849579999999876e-05
4.096000000000000000e+04,4.396145959999999997e-05
4.198400000000000000e+04,4.383543269999999923e-05
4.300800000000000000e+04,4.364637789999999758e-05
4.403200000000000000e+04,4.328403519999999991e-05
4.505600000000000000e+04,4.295320469999999952e-05
4.608000000000000000e+04,4.203946810000000033e-05
4.710400000000000000e+04,4.116249689999999784e-05
4.812800000000000000e+04,4.012798309999999775e-05
4.915200000000000000e+04,3.858934360000000060e-05
5.017600000000000000e+04,3.668310460000000179e-05
5.120000000000000000e+04,3.417296470000000242e-05
5.222400000000000000e+04,3.197265320000000101e-05
5.324800000000000000e+04,2.950452650000000101e-05
5.427200000000000000e+04,2.698913339999999884e-05
5.529600000000000000e+04,2.454201239999999906e-05
5.632000000000000000e+04,2.174304790000000141e-05
5.734400000000000000e+04,2.007312100000000008e-05
5.836800000000000000e+04,1.856599009999999902e-05
5.939200000000000000e+04,1.764175250000000114e-05
6.041600000000000000e+04,1.713762499999999840e-05
6.144000000000000000e+04,1.715337749999999923e-05
6.246400000000000000e+04,1.743169920000000166e-05
6.348800000000000000e+04,1.795683240000000124e-05
6.451200000000000000e+04,1.864476140000000120e-05
6.553500000000000000e+04,1.961100679999999835e-05
